delta_gamma,delta_error,delta_i_scale,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.1,0.2,0.1,1.0,OPTIMAL,1038.9510586422293,0.00837151327462918,6,6,2
0.1,0.2,0.3,1.0,OPTIMAL,930.8931093787589,0.00999499766961911,6,5,3
0.1,0.2,0.5,1.0,OPTIMAL,894.1592452593834,0.0010190422987245787,6,6,1
0.1,0.2,0.7,1.0,OPTIMAL,876.4849678106044,0.00813450333983328,6,6,2
0.1,0.2,0.9,1.0,OPTIMAL,876.1562486745391,0.009298316515662864,6,6,1
0.15,0.2,0.1,1.0,OPTIMAL,973.394881878577,0.0,6,6,1
0.15,0.2,0.3,1.0,OPTIMAL,861.3071997539035,0.0,6,5,3
0.15,0.2,0.5,1.0,OPTIMAL,828.9258786708864,0.00541348581075612,6,6,1
0.15,0.2,0.7,1.0,OPTIMAL,814.4334609744312,0.008258381557639109,6,6,2
0.15,0.2,0.9,1.0,OPTIMAL,804.9165334807915,0.0,6,6,1
0.2,0.2,0.1,1.0,OPTIMAL,907.7485832229343,0.0,6,6,1
0.2,0.2,0.3,1.0,OPTIMAL,791.7212901290559,0.0,6,5,3
0.2,0.2,0.5,1.0,OPTIMAL,763.6925120823812,0.0,6,6,1
0.2,0.2,0.7,1.0,OPTIMAL,751.8519002881596,0.0,6,6,2
0.2,0.2,0.9,1.0,OPTIMAL,739.6831668922827,0.0,6,6,1
0.25,0.2,0.1,1.0,OPTIMAL,777.136753355836,0.0,6,5,3
0.25,0.2,0.3,1.0,OPTIMAL,722.1353805042012,0.0,6,5,3
0.25,0.2,0.5,1.0,OPTIMAL,698.1260353141121,0.0,6,5,3
0.25,0.2,0.7,1.0,OPTIMAL,688.7223197949063,0.0,6,6,2
0.25,0.2,0.9,1.0,OPTIMAL,674.4498003037849,0.0,6,6,1
0.3,0.2,0.1,1.0,OPTIMAL,703.856632474451,0.0,6,5,3
0.3,0.2,0.3,1.0,OPTIMAL,652.5494708793533,0.0029719998737034676,6,5,3
0.3,0.2,0.5,1.0,OPTIMAL,628.540125689261,0.0,6,5,3
0.3,0.2,0.7,1.0,OPTIMAL,625.0267522637305,0.0,6,6,2
0.3,0.2,0.9,1.0,OPTIMAL,609.2164337152808,0.0,6,6,1
