delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.2,0.1,0.5,OPTIMAL,1056.2614126722187,0.0,6,5,4
0.2,0.1,0.75,OPTIMAL,759.1773558229033,0.0,6,4,1
0.2,0.1,1.0,OPTIMAL,739.682939277295,0.0,6,6,1
0.2,0.1,1.25,OPTIMAL,631.7284883461627,0.0,6,6,0
0.2,0.1,1.5,OPTIMAL,615.7947210786189,0.0,6,5,0
0.2,0.15,0.5,OPTIMAL,1056.26141267222,0.0,6,5,4
0.2,0.15,0.75,OPTIMAL,759.1773558229037,0.00903321505930263,6,4,1
0.2,0.15,1.0,OPTIMAL,739.6831668922889,0.0,6,6,1
0.2,0.15,1.25,OPTIMAL,631.7284883461627,0.0,6,6,0
0.2,0.15,1.5,OPTIMAL,615.7947232542064,0.006716169260846627,6,5,0
0.2,0.2,0.5,OPTIMAL,1056.2614126722196,0.00879212877981995,6,5,4
0.2,0.2,0.75,OPTIMAL,759.1773558229041,0.009993265880565167,6,4,1
0.2,0.2,1.0,OPTIMAL,739.6831668922715,0.0,6,6,1
0.2,0.2,1.25,OPTIMAL,631.7284883461627,0.0,6,6,0
0.2,0.2,1.5,OPTIMAL,615.7947232542051,0.0,6,5,0
0.2,0.25,0.5,OPTIMAL,1056.135496046284,0.002625561558655108,6,5,4
0.2,0.25,0.75,OPTIMAL,759.1773558229041,0.0,6,4,1
0.2,0.25,1.0,OPTIMAL,739.6831668922882,0.0,6,6,1
0.2,0.25,1.25,OPTIMAL,631.7284883461558,0.006986833723147177,6,6,0
0.2,0.25,1.5,OPTIMAL,615.794723254205,0.009243024789394162,6,5,0
0.2,0.3,0.5,OPTIMAL,1053.7010212062387,0.007741974986579884,6,5,3
0.2,0.3,0.75,OPTIMAL,759.1773558229041,0.00897826352464198,6,4,1
0.2,0.3,1.0,OPTIMAL,739.683166892289,0.00639720312256328,6,6,1
0.2,0.3,1.25,OPTIMAL,631.7284883461627,0.0032784588721142378,6,6,0
0.2,0.3,1.5,OPTIMAL,615.794723254205,0.00988290656315014,6,5,0
